"Actions","Effects","True k","Learning k","Effect-wise precision","Effect-wise recall","Parent pattern precision","Parent pattern recall"
10,1000,1,3,1,1,0.285714285714286,1
10,1000,1,7,1,1,0.181818181818182,1
10,1000,1,8,1,1,0.181818181818182,1
10,1000,1,9,1,1,0.181818181818182,1
10,1000,1,1,1,1,1,1
10,1000,1,2,1,1,0.833333333333333,1
10,1000,1,3,1,1,0.666666666666667,1
10,1000,1,8,1,1,0.5,1
10,1000,1,5,1,1,0.615384615384615,1
10,1000,2,1,1,1,0.555555555555556,0.454545454545455
10,1000,2,1,1,0.987372218881539,0.555555555555556,0.555555555555556
10,1000,2,2,1,1,0.384615384615385,0.555555555555556
10,1000,2,2,1,1,0.384615384615385,0.555555555555556
10,1000,2,1,0.988099665303087,0.988099665303087,0.333333333333333,0.25
10,1000,2,1,1,1,0.142857142857143,0.2
10,1000,2,2,1,1,0.1,0.2
10,1000,2,1,1,0.990213523131673,0.555555555555556,0.625
10,1000,2,2,1,1,0.3,0.428571428571429
10,1000,2,1,1,1,0.5,0.444444444444444
10,1000,2,2,1,1,0.545454545454545,0.666666666666667
10,1000,2,1,1,1,0.222222222222222,0.5
10,1000,2,1,1,1,0.375,0.3
10,1000,2,1,1,1,0.375,0.375
10,1000,2,1,1,1,0.125,0.5
10,1000,2,1,1,1,0.5,0.5
10,1000,2,2,1,1,0.363636363636364,0.5
10,1000,2,4,1,1,0.333333333333333,0.5
10,1000,2,9,1,1,0.333333333333333,0.5
10,1000,2,1,0.988252148997135,0.989670014347202,0.375,0.3
10,1000,2,1,1,1,0.375,0.75
10,1000,2,1,1,1,0.125,0.333333333333333
10,1000,2,1,1,1,0.25,0.666666666666667
10,1000,2,1,0.993627450980392,1,0.142857142857143,0.333333333333333
10,1000,2,1,0.984067085953878,0.996602972399151,0.5,0.357142857142857
10,1000,2,1,0.995334796926454,0.994243421052632,0.375,0.375
10,1000,2,1,1,1,0.6,0.461538461538462
10,1000,2,1,1,1,0.5,0.5
10,1000,2,1,1,1,0.25,0.333333333333333
10,1000,2,1,1,1,0.25,0.5
10,1000,2,2,1,1,0.2,0.5
10,1000,2,1,1,1,0.333333333333333,0.333333333333333
10,1000,2,1,0.980149812734082,0.970337411939192,0.5,0.333333333333333
10,1000,2,1,1,1,0.5,0.8
10,1000,2,2,1,1,0.363636363636364,0.8
10,1000,2,1,0.987886944818304,1,0.5,0.666666666666667
10,1000,2,1,1,1,0.333333333333333,0.5
10,1000,2,1,1,1,0.428571428571429,0.333333333333333
10,1000,2,1,1,1,0.5,0.357142857142857
10,1000,2,1,1,1,0.375,0.5
10,1000,2,1,1,0.987994808565866,0.5,0.454545454545455
10,1000,2,1,1,1,0.333333333333333,0.5
10,1000,2,1,1,1,0.333333333333333,0.428571428571429
10,1000,2,1,0.989303079416532,0.996083550913838,0.7,0.538461538461538
10,1000,2,1,1,0.988754325259516,0.125,0.25
10,1000,2,1,1,0.990291262135922,0.375,0.272727272727273
10,1000,2,1,1,1,0.285714285714286,0.4
10,1000,2,1,1,1,0.625,0.454545454545455
