"Actions","Effects","True k","Learning k","Effect-wise precision","Effect-wise recall","Parent pattern precision","Parent pattern recall","Log posterior","Log likelihood","File"
10,1000,1,1,1,1,0.857142857142857,1,-58.2243631670354,13161.560788772,"rdata/model-10-1-2-1.RData"
10,1000,1,2,0.984147114774889,1,0.666666666666667,1,-115.062431972951,25733.4098734726,"rdata/model-10-1-2-2.RData"
10,1000,1,3,1,1,0.545454545454545,1,-158.037557167668,38194.5002237579,"rdata/model-10-1-2-3.RData"
10,1000,1,4,0.812140240711669,1,0.5,1,-180.218266945586,47506.5100536125,"rdata/model-10-1-2-4.RData"
10,1000,1,5,1,1,0.5,1,-224.579686501422,64521.1024425573,"rdata/model-10-1-2-5.RData"
10,1000,1,6,0.812140240711669,1,0.5,1,-241.215218834861,70147.9837082842,"rdata/model-10-1-2-6.RData"
10,1000,1,7,0.971011470281543,1,0.461538461538462,1,-181.604561306706,75270.9997727874,"rdata/model-10-1-2-7.RData"
10,1000,1,8,0.812140240711669,1,0.461538461538462,1,-230.124863945902,94252.7736316202,"rdata/model-10-1-2-8.RData"
10,1000,1,1,1,1,1,1,-27.7258872223978,6534.22311444178,"rdata/model-10-1-20-1.RData"
10,1000,1,10,0.73855383643827,1,0.642857142857143,1,-152.492379723188,43806.7312874999,"rdata/model-10-1-20-10.RData"
10,1000,1,2,1,1,1,1,-55.4517744447956,13068.4462288836,"rdata/model-10-1-20-2.RData"
10,1000,1,3,1,1,0.9,1,-74.8598955004741,19602.6693433253,"rdata/model-10-1-20-3.RData"
10,1000,1,4,1,1,0.75,1,-84.5639560283133,24009.0510766937,"rdata/model-10-1-20-4.RData"
10,1000,1,5,0.937099358974359,1,0.75,1,-109.517254528471,29486.504386457,"rdata/model-10-1-20-5.RData"
10,1000,1,6,1,1,0.6,1,-102.585782722872,31228.1360216525,"rdata/model-10-1-20-6.RData"
10,1000,1,7,0.794767244308529,1,0.642857142857143,1,-123.38019813967,32536.468439229,"rdata/model-10-1-20-7.RData"
10,1000,1,8,0.733688833124216,1,0.642857142857143,1,-148.333496639828,33548.6733924178,"rdata/model-10-1-20-8.RData"
10,1000,1,9,0.790202702702703,1,0.6,1,-140.015730473109,35516.3352700562,"rdata/model-10-1-20-9.RData"
10,1000,1,1,1,1,0.2,1,-74.8598955004741,21840.950103783,"rdata/model-10-1-21-1.RData"
10,1000,1,2,1,1,0.142857142857143,1,-162.196440251027,43681.900207566,"rdata/model-10-1-21-2.RData"
10,1000,1,3,1,1,0.125,1,-224.579686501422,65522.8503113489,"rdata/model-10-1-21-3.RData"
10,1000,1,10,1,1,0.166666666666667,1,-402.025364724768,184074.23267764,"rdata/model-10-1-22-10.RData"
10,1000,1,1,0.919930675909879,1,0.714285714285714,1,-60.9969518892752,13774.2107816463,"rdata/model-10-1-23-1.RData"
10,1000,1,10,0.826371826371826,1,0.363636363636364,1,-361.822828252291,116116.986458409,"rdata/model-10-1-25-10.RData"
10,1000,1,4,0.891500265064499,1,0.363636363636364,1,-224.579686501422,51379.7220106914,"rdata/model-10-1-25-4.RData"
10,1000,1,1,1,1,0.4,1,-79.0187785838338,19786.284391107,"rdata/model-10-1-27-1.RData"
10,1000,1,1,1,1,0.75,1,-51.2928913614359,13393.635795865,"rdata/model-10-1-28-1.RData"
10,1000,1,1,1,1,0.6,1,-79.0187785838338,17894.9528418063,"rdata/model-10-1-29-1.RData"
10,1000,1,1,0.892122690833043,1,0.714285714285714,1,-62.3832462503951,12868.0505494197,"rdata/model-10-1-3-1.RData"
10,1000,1,2,1,1,0.555555555555556,1,-121.99390377855,25898.1954912732,"rdata/model-10-1-3-2.RData"
10,1000,1,3,0.920186949487687,1,0.5,1,-164.969028973267,35595.9584729982,"rdata/model-10-1-3-3.RData"
10,1000,1,4,0.762891207153502,1,0.5,1,-225.965980862542,39708.3592376634,"rdata/model-10-1-3-4.RData"
10,1000,1,5,0.819171067370779,1,0.5,1,-234.283747029262,54396.2448655341,"rdata/model-10-1-3-5.RData"
10,1000,1,6,0.775958769137487,1,0.454545454545455,1,-303.598465085256,60544.9495180379,"rdata/model-10-1-3-6.RData"
10,1000,1,7,0.745232202649585,1,0.454545454545455,1,-316.075114335335,67864.6637952338,"rdata/model-10-1-3-7.RData"
10,1000,1,8,0.738139870223504,1,0.384615384615385,1,-353.505062085572,88198.7847378766,"rdata/model-10-1-3-8.RData"
10,1000,1,1,0.999826056705514,1,0.666666666666667,1,-70.7010124171144,16334.2400889898,"rdata/model-10-1-30-1.RData"
