"Actions","Effects","True k","Learning k","Effect matrix precision","Effect matrix recall","Ancestry set precision","Ancestry set recall","Pairwise ancestry precision","Pairwise ancestry recall","Log posterior","Log likelihood","File"
10,1000,4,1,1,1,0.333333333333333,0.25,1,0.308243727598566,-24.953298500158,5968.34745240925,"rdata/model-10-4-3-1.RData"
10,1000,4,2,1,1,0.454545454545455,0.416666666666667,1,0.523297491039427,-49.9065970003161,11936.6949048185,"rdata/model-10-4-3-2.RData"
10,1000,4,3,1,1,0.454545454545455,0.416666666666667,1,0.426523297491039,-49.9065970003161,14967.9370605177,"rdata/model-10-4-3-3.RData"
10,1000,4,4,1,1,0.454545454545455,0.416666666666667,1,0.405017921146953,-62.3832462503951,17905.0423572277,"rdata/model-10-4-3-4.RData"
10,1000,4,5,1,1,0.454545454545455,0.416666666666667,1,0.440860215053763,-74.8598955004741,23873.389809637,"rdata/model-10-4-3-5.RData"
10,1000,4,6,1,1,0.454545454545455,0.416666666666667,1,0.663082437275986,-87.3365447505531,23873.389809637,"rdata/model-10-4-3-6.RData"
10,1000,4,7,1,1,0.454545454545455,0.416666666666667,1,0.698924731182796,-87.3365447505531,29841.7372620462,"rdata/model-10-4-3-7.RData"
10,1000,4,8,1,1,0.454545454545455,0.416666666666667,0.983333333333333,0.548387096774194,-74.8598955004741,23873.389809637,"rdata/model-10-4-3-8.RData"
10,1000,4,1,1,1,0.555555555555556,0.625,1,0.353658536585366,-24.953298500158,5158.79878190637,"rdata/model-10-4-4-1.RData"
10,1000,4,2,1,1,0.454545454545455,0.625,1,0.353658536585366,-24.953298500158,10317.5975638127,"rdata/model-10-4-4-2.RData"
10,1000,4,3,1,1,0.454545454545455,0.625,1,0.560975609756098,-49.9065970003161,10317.5975638127,"rdata/model-10-4-4-3.RData"
10,1000,4,4,1,1,0.454545454545455,0.625,1,0.615853658536585,-62.3832462503951,10317.5975638127,"rdata/model-10-4-4-4.RData"
10,1000,4,5,1,1,0.454545454545455,0.625,1,0.451219512195122,-62.3832462503951,20606.429976301,"rdata/model-10-4-4-5.RData"
10,1000,4,6,1,1,0.454545454545455,0.625,1,0.573170731707317,-74.8598955004741,20635.1951276255,"rdata/model-10-4-4-6.RData"
10,1000,4,7,1,1,0.454545454545455,0.625,1,0.676829268292683,-74.8598955004741,15476.3963457191,"rdata/model-10-4-4-7.RData"
10,1000,4,8,1,1,0.454545454545455,0.625,1,0.408536585365854,-62.3832462503951,20635.1951276255,"rdata/model-10-4-4-8.RData"
10,1000,4,1,1,1,0.666666666666667,0.315789473684211,1,0.33984375,-24.953298500158,5164.68774918665,"rdata/model-10-4-5-1.RData"
10,1000,4,2,1,1,0.545454545454545,0.315789473684211,1,0.4453125,-37.429947750237,10329.3754983733,"rdata/model-10-4-5-2.RData"
10,1000,4,3,1,1,0.545454545454545,0.315789473684211,1,0.5078125,-49.9065970003161,10329.3754983733,"rdata/model-10-4-5-3.RData"
10,1000,4,4,1,1,0.545454545454545,0.315789473684211,1,0.421875,-49.9065970003161,20658.7509967466,"rdata/model-10-4-5-4.RData"
10,1000,4,5,1,1,0.545454545454545,0.315789473684211,1,0.4921875,-62.3832462503951,15439.4383437907,"rdata/model-10-4-5-5.RData"
10,1000,4,6,1,1,0.545454545454545,0.315789473684211,1,0.4921875,-62.3832462503951,20658.7509967466,"rdata/model-10-4-5-6.RData"
10,1000,4,7,1,1,0.545454545454545,0.315789473684211,1,0.6640625,-74.8598955004741,20604.1260929773,"rdata/model-10-4-5-7.RData"
10,1000,4,8,1,1,0.545454545454545,0.315789473684211,0.971428571428571,0.58984375,-74.8598955004741,20658.7509967466,"rdata/model-10-4-5-8.RData"
10,1000,4,1,1,1,0.666666666666667,0.272727272727273,1,0.354260089686099,-24.953298500158,6038.19034037642,"rdata/model-10-4-6-1.RData"
10,1000,4,1,0.982658959537572,1,0.555555555555556,0.333333333333333,0.892857142857143,0.301158301158301,-24.953298500158,4711.66996665621,"rdata/model-10-4-7-1.RData"
